,mean,std
700,-0.21604756,0.13772704
701,-0.21199612,0.13375463
702,-0.21378593,0.12852207
703,-0.22293308,0.13448216
704,-0.21932396,0.13538814
705,-0.22364597,0.13810657
706,-0.22128733,0.1389523
707,-0.22866313,0.12878151
708,-0.22477949,0.13209765
709,-0.21984172,0.13314304
710,-0.2199122,0.13623372
711,-0.22286132,0.13533255
712,-0.22839038,0.13102846
713,-0.22966488,0.14019673
714,-0.22744314,0.13815452
715,-0.22491845,0.14213851
716,-0.22467642,0.1411689
717,-0.22162059,0.13617468
718,-0.22072315,0.13879596
719,-0.22610238,0.13297142
720,-0.22298999,0.1300426
721,-0.22742692,0.13646436
722,-0.2296999,0.13924381
723,-0.22262526,0.13118815
724,-0.22298583,0.13569908
725,-0.22121045,0.13887107
726,-0.22553317,0.13581502
727,-0.22110836,0.13337044
728,-0.22760876,0.14224082
729,-0.22392833,0.1345651
730,-0.2131836,0.14107071
731,-0.22369114,0.14418355
732,-0.2223819,0.14516087
733,-0.22087093,0.14199993
734,-0.21675706,0.14539701
735,-0.21573219,0.14066137
736,-0.21697378,0.14000708
737,-0.21574168,0.13847207
738,-0.21453038,0.13755846
739,-0.2157228,0.1443968
740,-0.20543532,0.14519376
741,-0.20805016,0.14277507
742,-0.20881645,0.13939422
743,-0.20354989,0.14531241
744,-0.21182303,0.14812006
745,-0.20669658,0.14927761
746,-0.19844873,0.15003026
747,-0.20490015,0.14622115
748,-0.20305519,0.14732805
749,-0.19768548,0.14812362
750,-0.19691843,0.15163226
751,-0.19497022,0.14506169
752,-0.19316009,0.15081605
753,-0.19522135,0.15214778
754,-0.19058384,0.1498394
755,-0.19018337,0.14931226
756,-0.18806633,0.14476915
757,-0.1836423,0.14487995
758,-0.18473154,0.14858541
759,-0.18087882,0.15633824
760,-0.18142685,0.15591034
761,-0.18223098,0.15674126
762,-0.17653708,0.1597223
763,-0.17433156,0.15560557
764,-0.16419058,0.15988475
765,-0.16619648,0.1503115
766,-0.16742852,0.15709975
767,-0.15952964,0.15727955
768,-0.15952785,0.16029094
769,-0.16048071,0.15084784
770,-0.15701465,0.16046746
771,-0.15666798,0.15602264
772,-0.15102561,0.15445663
773,-0.15386076,0.15402521
774,-0.1486918,0.15678316
775,-0.14420693,0.15962878
776,-0.13966945,0.1565104
777,-0.13975973,0.16082582
778,-0.13498811,0.16045916
779,-0.13362522,0.16350895
780,-0.13609198,0.16015403
781,-0.12300198,0.1634651
782,-0.12844509,0.16785474
783,-0.12391303,0.15906839
784,-0.12263279,0.16496542
785,-0.116108276,0.15864034
786,-0.11564239,0.16527466
787,-0.11320243,0.16725013
788,-0.11233445,0.17192954
789,-0.10758084,0.17596222
790,-0.102927074,0.16800736
791,-0.10180869,0.16249727
792,-0.10005504,0.1727644
793,-0.08957933,0.17284843
794,-0.09446994,0.17032579
795,-0.0905171,0.16954163
796,-0.08975164,0.17081182
797,-0.080263235,0.16792397
798,-0.07935622,0.16895477
799,-0.07534192,0.17129533
800,-0.06966468,0.16866428
801,-0.069536425,0.17482303
802,-0.072204426,0.17260544
803,-0.065636694,0.17056994
804,-0.05912423,0.16730672
805,-0.0555465,0.17270085
806,-0.05672009,0.17259021
807,-0.049404867,0.1782897
808,-0.044535756,0.17082044
809,-0.048738528,0.16779877
810,-0.037387293,0.1735286
811,-0.042663604,0.17277315
812,-0.039428324,0.16777061
813,-0.03223267,0.17085135
814,-0.026353408,0.17600478
815,-0.031188611,0.17408682
816,-0.023618918,0.16928057
817,-0.024413515,0.17612095
818,-0.018291438,0.17528005
819,-0.014630502,0.17286198
820,-0.007060632,0.17429651
821,-0.0056237043,0.17614384
822,-0.0020167052,0.1758327
823,0.001423797,0.17193794
824,0.007179937,0.17703725
825,0.007770273,0.1724545
826,0.011874246,0.17367549
827,0.0087261945,0.17741242
828,0.01310735,0.17137058
829,0.016949758,0.17147738
830,0.021778127,0.1737971
831,0.027659407,0.1734905
832,0.03331556,0.17278767
833,0.029682886,0.17743541
834,0.034599964,0.1800378
835,0.044203985,0.17505056
836,0.040389884,0.17464007
837,0.037370086,0.16890875
838,0.046044342,0.1698207
839,0.045258515,0.16663559
840,0.05075525,0.17415515
841,0.05373051,0.17487375
842,0.05822135,0.16853608
843,0.062162656,0.17167084
844,0.06804458,0.1738553
845,0.06983775,0.17208096
846,0.0723953,0.17460893
847,0.07270644,0.17640084
848,0.07941005,0.1759268
849,0.07488757,0.17539199
850,0.087112665,0.1756731
851,0.08257832,0.17610252
852,0.09167804,0.1721573
853,0.08900175,0.17484625
854,0.09228144,0.17229909
855,0.10062623,0.17355277
856,0.09561837,0.17465943
857,0.09926104,0.16734333
858,0.11004682,0.17482242
859,0.10478326,0.1698555
860,0.110398136,0.17159836
861,0.11206876,0.17072263
862,0.10906486,0.16360293
863,0.11324246,0.1727198
864,0.12050702,0.16607346
865,0.1190635,0.17051427
866,0.12076362,0.16796832
867,0.12520236,0.16432744
868,0.12411805,0.16631494
869,0.13231573,0.16997592
870,0.1322988,0.16582529
871,0.13667825,0.16790392
872,0.13756642,0.16497993
873,0.14133248,0.16885015
874,0.13694926,0.16477185
875,0.1390963,0.16777666
876,0.1440539,0.16391246
877,0.1504716,0.16223207
878,0.14530548,0.16604733
879,0.14543566,0.16239901
880,0.1463975,0.16707452
881,0.1484362,0.16092014
882,0.15503559,0.16079542
883,0.15619178,0.16234925
884,0.16203591,0.16037385
885,0.15956627,0.1645468
886,0.16179608,0.1639708
887,0.16852522,0.16097279
888,0.16901562,0.16075864
889,0.16706602,0.15772668
890,0.16963981,0.16163114
891,0.171392,0.16829766
892,0.17131849,0.15774557
893,0.17365932,0.16332819
894,0.17580745,0.16504323
895,0.1746014,0.16066699
896,0.17211573,0.15730304
897,0.17836101,0.15476683
898,0.17786936,0.16996358
899,0.17769262,0.15954986
900,0.1832633,0.15698554
901,0.18197696,0.1595792
902,0.18462868,0.16160202
903,0.18428144,0.16162017
904,0.18150035,0.16042005
905,0.18625018,0.16376184
906,0.18475497,0.16159406
907,0.18919785,0.16129947
908,0.18390141,0.1577751
909,0.18908753,0.15718515
910,0.18828182,0.15632315
911,0.18620476,0.15646297
912,0.19386391,0.15473185
913,0.18465397,0.16304561
914,0.19159044,0.15746988
915,0.19055292,0.16300763
916,0.19783118,0.15971318
917,0.1898179,0.15773213
918,0.18810251,0.15949158
919,0.1913698,0.15965559
920,0.19129252,0.16338459
921,0.19043896,0.16412668
922,0.18827988,0.16485187
923,0.1957336,0.15904976
924,0.19601366,0.16053109
925,0.1932224,0.16060856
926,0.19160739,0.16030508
927,0.19202396,0.16000599
928,0.1969938,0.15705577
929,0.19404191,0.15316816
930,0.19108172,0.15720579
931,0.19035771,0.16199398
932,0.19589768,0.15964922
933,0.19103998,0.1540199
934,0.18907768,0.1641236
935,0.18430188,0.15742283
936,0.18821076,0.16077714
937,0.18486103,0.1664824
938,0.18330225,0.16474894
939,0.18601307,0.16431604
940,0.19249228,0.1588827
941,0.17877847,0.16153602
942,0.18998924,0.15987211
943,0.18882054,0.16290973
944,0.18383428,0.16291189
945,0.18036096,0.16169815
946,0.18505941,0.16598395
947,0.18333346,0.1626048
948,0.17323679,0.16475406
949,0.17276284,0.16465935
950,0.17420216,0.1614718
951,0.17995843,0.16854702
952,0.17468868,0.1706955
953,0.17159311,0.16468652
954,0.17113246,0.16758467
955,0.17431456,0.16717674
